patient_id,traffic_source,device
1997,Organic Search,Android 8.3
1998,Apple Ads,IOS 17.1
1999,Referral,Android 12.2
2000,Google Ads,IOS 16.2
2001,Referral,Android 11.3
2002,Referral,Android 12.4
2003,Apple Ads,IOS 17.1
2004,Organic Search,Android 11.0
2005,Referral,IOS 12.2
2006,Direct,IOS 15.3
2007,Direct,Android 11.5
2008,Referral,IOS 12.3
2009,Organic Search,Android 11.3
2010,Direct,IOS 14.5
2011,Referral,IOS 14.1
2012,Meta Ads,IOS 18.3
2013,Direct,IOS 14.1
2014,Referral,IOS 15.5
2015,Direct,Android 10.4
2016,Meta Ads,Android 11.0
2017,Meta Ads,Android 12.5
2018,Direct,Android 11.2
2019,Referral,Android 9.2
2020,Organic Search,Android 8.4
2021,Direct,Android 8.1
2022,Meta Ads,IOS 16.0
2023,Organic Search,Android 8.0
2024,Google Ads,IOS 14.2
2025,Organic Search,Android 12.1
2026,Referral,Android 10.2
2027,Referral,IOS 17.2
2028,Meta Ads,IOS 17.4
2029,Referral,Android 11.5
2030,Google Ads,IOS 18.5
2031,Organic Search,Android 9.3
2032,Organic Search,Android 9.1
2033,Organic Search,Android 10.5
2034,Organic Search,IOS 18.2
2035,Organic Search,IOS 17.2
2036,Direct,IOS 18.0
2037,Direct,IOS 15.3
2038,Organic Search,IOS 15.4
2039,Apple Ads,IOS 17.1
2040,Direct,Android 8.3
2041,Organic Search,IOS 13.0
2042,Organic Search,Android 12.2
2043,Organic Search,IOS 18.0
2044,Google Ads,Android 12.5
2045,Referral,Android 10.2
2046,Organic Search,IOS 16.1
2047,Referral,IOS 14.5
2048,Direct,IOS 14.5
2049,Apple Ads,IOS 17.1
2050,Referral,Android 8.2
2051,Organic Search,Android 11.0
2052,Organic Search,Android 8.2
2053,Direct,IOS 14.3
2054,Organic Search,IOS 17.4
2055,Google Ads,IOS 13.3
2056,Referral,Android 8.2
2057,Direct,IOS 18.0
2058,Referral,Android 12.0
2059,Referral,Android 8.0
2060,Direct,IOS 18.0
2061,Referral,IOS 17.0
2062,Referral,IOS 16.1
2063,Apple Ads,IOS 12.5
2064,Organic Search,IOS 14.0
2065,Direct,Android 8.3
2066,Referral,IOS 14.4
2067,Meta Ads,IOS 13.4
2068,Direct,Android 11.0
2069,Direct,IOS 12.1
2070,Direct,Android 11.5
2071,Apple Ads,IOS 17.4
2072,Direct,Android 10.0
2073,Organic Search,Android 10.0
2074,Direct,IOS 18.5
2075,Direct,IOS 12.5
2076,Google Ads,IOS 15.5
2077,Organic Search,IOS 18.3
2078,Direct,IOS 14.3
2079,Referral,IOS 14.1
2080,Meta Ads,IOS 13.5
2081,Meta Ads,IOS 15.1
2082,Direct,IOS 14.0
2083,Apple Ads,IOS 17.1
2084,Direct,IOS 12.0
2085,Organic Search,Android 8.3
2086,Referral,IOS 12.0
2087,Organic Search,Android 8.5
2088,Referral,IOS 18.1
2089,Direct,Android 10.1
2090,Organic Search,Android 9.2
2091,Direct,Android 10.5
2092,Organic Search,IOS 18.1
2093,Google Ads,Android 9.3
2094,Direct,IOS 15.1
2095,Direct,IOS 18.2
2096,Google Ads,Android 10.4
2097,Direct,IOS 13.2
2098,Direct,IOS 12.3
2099,Google Ads,Android 9.1
2100,Apple Ads,IOS 17.1
2101,Organic Search,IOS 14.1
2102,Google Ads,IOS 13.3
2103,Google Ads,IOS 14.1
2104,Referral,Android 11.1
2105,Direct,Android 12.1
2106,Direct,Android 8.4
2107,Direct,Android 9.1
2108,Referral,Android 8.1
2109,Direct,Android 9.1
2110,Organic Search,IOS 14.3
2111,Referral,IOS 15.1
2112,Google Ads,Android 9.0
2113,Direct,Android 10.4
2114,Referral,Android 11.2
2115,Organic Search,IOS 16.2
2116,Direct,IOS 17.0
2117,Referral,Android 9.0
2118,Apple Ads,IOS 14.2
2119,Referral,IOS 13.5
2120,Referral,IOS 16.1
2121,Referral,IOS 14.3
2122,Direct,IOS 13.0
2123,Organic Search,Android 12.2
2124,Meta Ads,Android 10.3
2125,Direct,Android 12.4
2126,Referral,IOS 12.5
2127,Referral,Android 10.5
2128,Google Ads,Android 11.0
2129,Referral,Android 10.2
2130,Referral,Android 11.0
2131,Organic Search,Android 12.5
2132,Organic Search,IOS 13.0
2133,Organic Search,Android 8.2
2134,Direct,Android 10.3
2135,Organic Search,IOS 15.1
2136,Referral,Android 8.3
2137,Direct,Android 10.1
2138,Meta Ads,IOS 17.0
2139,Organic Search,Android 8.1
2140,Organic Search,IOS 14.4
2141,Organic Search,IOS 12.2
2142,Organic Search,Android 9.4
2143,Apple Ads,IOS 17.1
2144,Apple Ads,IOS 17.1
2145,Meta Ads,IOS 18.3
2146,Apple Ads,IOS 12.5
2147,Referral,IOS 18.1
2148,Direct,IOS 14.5
2149,Referral,IOS 17.4
2150,Organic Search,Android 11.1
2151,Direct,Android 10.4
2152,Referral,IOS 18.1
2153,Apple Ads,IOS 17.1
2154,Organic Search,Android 12.2
2155,Referral,IOS 17.4
2156,Organic Search,Android 12.0
2157,Referral,Android 10.1
2158,Meta Ads,Android 12.4
2159,Referral,Android 10.1
2160,Referral,Android 10.1
2161,Organic Search,Android 11.1
2162,Organic Search,Android 8.2
2163,Referral,Android 9.3
2164,Direct,IOS 13.5
2165,Organic Search,IOS 18.0
2166,Referral,Android 8.3
2167,Referral,IOS 14.5
2168,Meta Ads,Android 12.5
2169,Meta Ads,IOS 17.1
2170,Google Ads,IOS 14.3
2171,Direct,IOS 14.0
2172,Direct,IOS 13.3
2173,Organic Search,Android 8.1
2174,Referral,Android 7.3
2175,Organic Search,IOS 17.1
2176,Apple Ads,IOS 15.0
2177,Organic Search,Android 11.4
2178,Apple Ads,IOS 17.1
2179,Referral,Android 11.4
2180,Referral,Android 11.1
2181,Referral,Android 10.1
2182,Google Ads,IOS 13.0
2183,Direct,Android 9.1
2184,Referral,IOS 12.2
2185,Direct,Android 10.2
2186,Referral,IOS 15.1
2187,Direct,Android 8.3
2188,Organic Search,Android 11.1
2189,Organic Search,Android 11.3
2190,Referral,Android 9.1
2191,Meta Ads,Android 8.1
2192,Referral,Android 12.4
2193,Referral,IOS 13.5
2194,Organic Search,IOS 16.4
2195,Direct,Android 12.3
2196,Meta Ads,IOS 12.5
2197,Direct,IOS 12.3
2198,Direct,IOS 13.3
2199,Direct,IOS 15.2
2200,Direct,IOS 14.5
2201,Direct,Android 11.0
2202,Google Ads,Android 8.0
2203,Meta Ads,IOS 16.3
2204,Organic Search,Android 10.4
2205,Direct,Android 11.2
2206,Referral,IOS 17.5
2207,Direct,IOS 14.1
2208,Referral,IOS 16.3
2209,Organic Search,Android 12.1
2210,Referral,IOS 14.2
2211,Organic Search,IOS 14.4
2212,Direct,Android 10.2
2213,Direct,IOS 13.4
2214,Google Ads,Android 8.0
2215,Direct,Android 11.1
2216,Direct,IOS 17.4
2217,Referral,IOS 17.0
2218,Referral,IOS 17.4
2219,Direct,IOS 13.4
2220,Organic Search,Android 12.4
2221,Apple Ads,IOS 17.2
2222,Referral,IOS 16.4
2223,Referral,IOS 16.2
2224,Google Ads,IOS 15.4
2225,Organic Search,Android 9.5
2226,Referral,Android 8.1
2227,Organic Search,Android 8.5
2228,Referral,Android 12.0
2229,Direct,IOS 15.0
2230,Organic Search,Android 8.2
2231,Direct,Android 11.1
2232,Direct,IOS 14.2
2233,Referral,IOS 18.2
2234,Google Ads,Android 9.2
2235,Organic Search,IOS 13.3
2236,Organic Search,Android 12.1
2237,Direct,Android 9.3
2238,Organic Search,IOS 12.3
2239,Google Ads,IOS 16.5
2240,Organic Search,Android 8.0
2241,Google Ads,Android 12.3
2242,Meta Ads,Android 11.1
2243,Direct,Android 10.3
2244,Direct,IOS 16.5
2245,Direct,IOS 14.0
2246,Direct,IOS 17.2
2247,Organic Search,IOS 17.1
2248,Organic Search,Android 11.5
2249,Organic Search,Android 12.2
2250,Organic Search,Android 12.4
2251,Google Ads,Android 10.3
2252,Organic Search,IOS 16.2
2253,Google Ads,Android 8.1
2254,Apple Ads,IOS 17.1
2255,Referral,IOS 15.0
2256,Referral,IOS 14.2
2257,Apple Ads,IOS 17.1
2258,Referral,IOS 15.0
2259,Meta Ads,IOS 17.4
2260,Referral,IOS 16.0
2261,Referral,Android 9.3
2262,Referral,IOS 16.3
2263,Google Ads,Android 12.0
2264,Organic Search,IOS 15.3
2265,Meta Ads,Android 11.5
2266,Direct,IOS 16.5
2267,Meta Ads,IOS 14.0
2268,Referral,IOS 18.5
2269,Apple Ads,IOS 18.5
2270,Direct,IOS 14.3
2271,Meta Ads,IOS 12.3
2272,Referral,IOS 15.4
2273,Apple Ads,IOS 16.3
2274,Referral,Android 10.1
2275,Referral,IOS 16.3
2276,Apple Ads,IOS 17.1
2277,Referral,Android 12.3
2278,Organic Search,IOS 17.0
2279,Direct,Android 10.0
2280,Direct,IOS 17.2
2281,Organic Search,Android 10.0
2282,Direct,Android 11.4
2283,Apple Ads,IOS 16.2
2284,Direct,IOS 17.0
2285,Referral,IOS 12.1
2286,Organic Search,Android 11.3
2287,Google Ads,IOS 12.0
2288,Direct,IOS 14.2
2289,Organic Search,Android 9.2
2290,Organic Search,Android 10.2
2291,Organic Search,Android 11.4
2292,Direct,Android 11.1
2293,Direct,IOS 16.0
2294,Direct,Android 12.5
2295,Apple Ads,IOS 17.1
2296,Referral,Android 10.2
2297,Apple Ads,IOS 17.1
2298,Referral,IOS 17.0
2299,Referral,IOS 16.3
2300,Referral,IOS 16.2
2301,Referral,Android 8.4
2302,Referral,Android 9.5
2303,Direct,IOS 13.0
2304,Organic Search,Android 8.1
2305,Google Ads,IOS 16.4
2306,Referral,IOS 14.1
2307,Referral,IOS 13.3
2308,Referral,IOS 17.0
2309,Direct,Android 11.3
2310,Referral,Android 8.3
2311,Referral,IOS 12.4
2312,Organic Search,Android 10.4
2313,Organic Search,IOS 18.2
2314,Organic Search,Android 12.1
2315,Direct,Android 12.1
2316,Apple Ads,IOS 17.1
2317,Organic Search,Android 12.3
2318,Referral,IOS 12.0
2319,Referral,IOS 16.1
2320,Referral,Android 8.0
2321,Apple Ads,IOS 12.5
2322,Apple Ads,IOS 18.0
2323,Direct,IOS 15.0
2324,Google Ads,IOS 18.2
2325,Referral,IOS 13.0
2326,Organic Search,IOS 13.4
2327,Organic Search,Android 9.0
2328,Referral,IOS 13.4
2329,Organic Search,IOS 17.2
2330,Apple Ads,IOS 17.1
2331,Direct,IOS 18.4
2332,Direct,IOS 17.2
2333,Direct,Android 10.2
2334,Direct,IOS 12.3
2335,Meta Ads,Android 12.3
2336,Referral,Android 9.3
2337,Organic Search,IOS 14.4
2338,Google Ads,IOS 16.0
2339,Direct,Android 10.0
2340,Referral,Android 11.5
2341,Organic Search,Android 12.0
2342,Organic Search,IOS 13.4
2343,Organic Search,Android 8.3
2344,Organic Search,IOS 14.1
2345,Direct,IOS 17.2
2346,Direct,IOS 18.5
2347,Referral,IOS 12.3
2348,Direct,IOS 15.4
2349,Organic Search,Android 8.4
2350,Direct,IOS 17.1
2351,Direct,Android 11.0
2352,Direct,Android 10.3
2353,Direct,Android 11.2
2354,Referral,IOS 15.5
2355,Organic Search,Android 8.0
2356,Organic Search,Android 8.4
2357,Organic Search,Android 9.2
2358,Referral,Android 9.4
2359,Google Ads,IOS 14.4
2360,Organic Search,Android 10.3
2361,Meta Ads,Android 8.5
2362,Organic Search,IOS 14.4
2363,Direct,Android 9.1
2364,Referral,IOS 14.4
2365,Direct,IOS 15.5
2366,Direct,Android 12.2
2367,Meta Ads,IOS 18.2
2368,Direct,IOS 13.5
2369,Apple Ads,IOS 17.1
2370,Meta Ads,Android 10.2
2371,Organic Search,Android 12.2
2372,Direct,Android 11.0
2373,Google Ads,Android 10.2
2374,Referral,Android 10.3
2375,Organic Search,Android 12.5
2376,Organic Search,Android 8.0
2377,Direct,Android 12.5
2378,Direct,IOS 17.3
2379,Direct,Android 8.5
2380,Organic Search,IOS 18.0
2381,Organic Search,Android 9.3
2382,Referral,IOS 13.4
2383,Organic Search,IOS 18.3
2384,Referral,IOS 13.1
2385,Organic Search,Android 8.3
2386,Meta Ads,IOS 15.5
2387,Google Ads,Android 12.1
2388,Referral,IOS 12.5
2389,Referral,IOS 18.0
2390,Organic Search,Android 11.0
2391,Organic Search,Android 10.2
2392,Referral,Android 11.1
2393,Organic Search,Android 12.3
2394,Referral,Android 12.1
2395,Apple Ads,IOS 14.1
2396,Organic Search,IOS 14.3
2397,Organic Search,IOS 16.0
2398,Referral,Android 11.3
2399,Direct,IOS 14.1
2400,Organic Search,Android 12.0
2401,Direct,IOS 18.3
2402,Direct,Android 8.0
2403,Meta Ads,IOS 16.1
2404,Organic Search,IOS 16.2
2405,Referral,IOS 12.4
2406,Meta Ads,Android 10.4
2407,Organic Search,IOS 15.1
2408,Direct,Android 9.4
2409,Meta Ads,Android 8.1
2410,Direct,Android 8.0
2411,Google Ads,IOS 16.5
2412,Organic Search,Android 11.4
2413,Google Ads,IOS 16.4
2414,Direct,Android 10.3
2415,Direct,Android 9.3
2416,Organic Search,IOS 17.0
2417,Direct,IOS 13.0
2418,Google Ads,Android 12.4
2419,Meta Ads,IOS 17.2
2420,Direct,Android 8.1
2421,Meta Ads,Android 12.2
2422,Direct,Android 10.2
2423,Referral,Android 10.2
2424,Meta Ads,IOS 16.4
2425,Direct,IOS 13.2
2426,Referral,Android 9.1
2427,Organic Search,Android 12.0
2428,Direct,IOS 16.3
2429,Meta Ads,IOS 16.1
2430,Google Ads,Android 9.0
2431,Google Ads,IOS 17.5
2432,Google Ads,IOS 12.0
2433,Meta Ads,IOS 15.2
2434,Referral,Android 12.4
2435,Meta Ads,Android 10.2
2436,Referral,Android 9.3
2437,Referral,IOS 16.4
2438,Organic Search,IOS 14.3
2439,Referral,Android 11.0
2440,Direct,Android 12.1
2441,Organic Search,IOS 12.1
2442,Referral,IOS 13.4
2443,Referral,Android 10.1
2444,Apple Ads,IOS 18.4
2445,Referral,IOS 15.4
2446,Referral,IOS 12.0
2447,Direct,IOS 12.5
2448,Referral,Android 9.0
2449,Organic Search,Android 10.4
2450,Referral,IOS 12.5
2451,Google Ads,Android 12.5
2452,Referral,IOS 12.1
2453,Organic Search,IOS 12.1
2454,Apple Ads,IOS 16.3
2455,Google Ads,IOS 16.2
2456,Google Ads,IOS 17.2
2457,Direct,Android 10.0
2458,Organic Search,IOS 15.3
2459,Referral,IOS 12.0
2460,Referral,IOS 14.5
2461,Direct,Android 12.4
2462,Organic Search,IOS 15.0
2463,Direct,Android 10.1
2464,Apple Ads,IOS 15.2
2465,Google Ads,Android 12.3
2466,Meta Ads,IOS 17.4
2467,Apple Ads,IOS 17.1
2468,Organic Search,IOS 13.1
2469,Referral,Android 8.4
2470,Apple Ads,IOS 17.1
2471,Apple Ads,IOS 17.1
2472,Apple Ads,IOS 15.3
2473,Direct,Android 8.5
2474,Referral,Android 12.3
2475,Apple Ads,IOS 17.3
2476,Meta Ads,Android 9.3
2477,Organic Search,IOS 12.2
2478,Meta Ads,Android 8.0
2479,Apple Ads,IOS 17.1
2480,Meta Ads,IOS 13.5
2481,Referral,IOS 13.5
2482,Organic Search,Android 8.3
2483,Apple Ads,IOS 13.0
2484,Direct,IOS 18.2
2485,Google Ads,Android 9.0
2486,Direct,Android 10.0
2487,Referral,Android 10.5
2488,Direct,Android 9.5
2489,Meta Ads,Android 12.1
2490,Referral,Android 10.4
2491,Direct,IOS 13.4
2492,Organic Search,IOS 17.2
2493,Organic Search,Android 10.1
2494,Referral,Android 8.2
2495,Organic Search,Android 9.5
2496,Apple Ads,IOS 17.1
2497,Apple Ads,IOS 12.5
2498,Direct,Android 11.5
2499,Referral,Android 10.4
2500,Organic Search,Android 11.1
2501,Organic Search,IOS 14.3
2502,Google Ads,IOS 14.2
2503,Direct,IOS 18.0
2504,Direct,Android 12.4
2505,Referral,Android 12.3
2506,Organic Search,Android 9.1
2507,Referral,IOS 15.1
2508,Direct,IOS 18.1
2509,Apple Ads,IOS 17.5
2510,Direct,Android 11.1
2511,Organic Search,IOS 12.2
2512,Referral,Android 9.0
2513,Referral,IOS 16.5
2514,Direct,Android 12.4
2515,Organic Search,IOS 17.3
2516,Direct,IOS 12.4
2517,Meta Ads,IOS 13.5
2518,Google Ads,IOS 12.3
2519,Organic Search,IOS 16.1
2520,Apple Ads,IOS 17.4
2521,Direct,Android 12.2
2522,Apple Ads,IOS 16.5
2523,Organic Search,Android 11.1
2524,Direct,Android 10.2
2525,Meta Ads,Android 9.2
2526,Google Ads,Android 11.5
2527,Direct,Android 9.4
2528,Organic Search,Android 10.4
2529,Referral,Android 9.4
2530,Direct,IOS 17.0
2531,Direct,Android 8.3
2532,Organic Search,Android 10.5
2533,Referral,IOS 15.1
2534,Direct,Android 8.5
2535,Organic Search,Android 8.5
2536,Apple Ads,IOS 17.1
2537,Referral,IOS 16.3
2538,Meta Ads,IOS 18.3
2539,Direct,Android 11.1
2540,Organic Search,IOS 16.1
2541,Direct,Android 12.2
2542,Organic Search,IOS 13.5
2543,Direct,Android 11.2
2544,Direct,IOS 14.3
2545,Direct,Android 9.4
2546,Referral,Android 9.2
2547,Direct,Android 8.3
2548,Organic Search,Android 8.4
2549,Google Ads,IOS 12.5
2550,Direct,IOS 13.2
2551,Referral,Android 11.2
2552,Referral,Android 8.5
2553,Referral,Android 12.0
2554,Organic Search,Android 12.1
2555,Organic Search,Android 9.1
2556,Organic Search,Android 11.5
2557,Meta Ads,IOS 12.0
2558,Direct,IOS 18.4
2559,Apple Ads,IOS 17.1
2560,Organic Search,IOS 18.0
2561,Google Ads,Android 11.5
2562,Apple Ads,IOS 17.1
2563,Google Ads,Android 9.5
2564,Organic Search,Android 12.4
2565,Direct,IOS 12.2
2566,Direct,IOS 12.2
2567,Google Ads,IOS 17.5
2568,Organic Search,Android 12.5
2569,Organic Search,IOS 13.4
2570,Google Ads,Android 11.3
2571,Google Ads,Android 9.5
2572,Direct,IOS 17.4
2573,Direct,Android 11.5
2574,Referral,Android 8.2
2575,Organic Search,Android 11.4
2576,Direct,Android 11.2
2577,Organic Search,IOS 18.0
2578,Referral,IOS 12.3
2579,Apple Ads,IOS 17.1
2580,Meta Ads,IOS 15.5
2581,Meta Ads,IOS 15.0
2582,Organic Search,IOS 15.2
2583,Referral,Android 12.4
2584,Direct,IOS 16.3
2585,Direct,Android 8.5
2586,Referral,IOS 12.1
2587,Referral,IOS 13.2
2588,Direct,Android 8.5
2589,Direct,IOS 13.2
2590,Google Ads,IOS 13.3
2591,Organic Search,Android 10.3
2592,Organic Search,IOS 15.4
2593,Direct,Android 11.1
2594,Organic Search,Android 11.5
2595,Apple Ads,IOS 17.1
2596,Organic Search,Android 12.1
2597,Referral,Android 12.5
2598,Direct,Android 8.2
2599,Direct,Android 10.1
2600,Direct,Android 8.2
2601,Direct,IOS 12.4
2602,Direct,Android 8.4
2603,Referral,IOS 14.3
2604,Referral,IOS 15.5
2605,Apple Ads,IOS 18.0
2606,Referral,IOS 12.0
2607,Organic Search,IOS 14.3
2608,Apple Ads,IOS 13.3
2609,Organic Search,Android 11.5
2610,Organic Search,IOS 13.5
2611,Google Ads,Android 8.1
2612,Apple Ads,IOS 16.4
2613,Organic Search,Android 8.0
2614,Direct,Android 9.3
2615,Organic Search,IOS 14.0
2616,Referral,Android 10.4
2617,Organic Search,Android 9.1
2618,Organic Search,IOS 18.1
2619,Organic Search,Android 8.4
2620,Referral,Android 12.3
2621,Direct,IOS 14.1
2622,Direct,Android 11.1
2623,Direct,IOS 14.5
2624,Referral,IOS 13.5
2625,Organic Search,IOS 15.2
2626,Direct,IOS 13.0
2627,Organic Search,Android 9.5
2628,Referral,IOS 12.0
2629,Google Ads,IOS 13.4
2630,Direct,Android 11.1
2631,Direct,Android 8.3
2632,Direct,IOS 14.4
2633,Referral,Android 9.4
2634,Meta Ads,IOS 18.5
2635,Google Ads,Android 10.5
2636,Direct,IOS 13.4
2637,Referral,IOS 13.3
2638,Organic Search,IOS 15.5
2639,Referral,Android 11.1
2640,Organic Search,IOS 17.4
2641,Referral,Android 11.5
2642,Direct,Android 12.1
2643,Referral,Android 11.5
2644,Direct,IOS 15.1
2645,Referral,Android 10.3
2646,Direct,IOS 18.3
2647,Organic Search,IOS 12.5
2648,Organic Search,IOS 17.4
2649,Google Ads,IOS 12.4
2650,Referral,IOS 12.5
2651,Organic Search,IOS 18.1
2652,Referral,Android 8.4
2653,Referral,IOS 18.4
2654,Referral,Android 11.1
2655,Apple Ads,IOS 13.5
2656,Organic Search,Android 10.5
2657,Meta Ads,IOS 16.1
2658,Referral,Android 12.0
2659,Meta Ads,IOS 13.2
2660,Organic Search,Android 8.3
2661,Organic Search,Android 8.0
2662,Apple Ads,IOS 14.3
2663,Referral,Android 8.4
2664,Organic Search,Android 11.1
2665,Direct,Android 10.1
2666,Referral,IOS 12.4
2667,Direct,Android 12.1
2668,Direct,IOS 16.1
2669,Google Ads,IOS 14.3
2670,Referral,Android 12.0
2671,Organic Search,Android 8.3
2672,Google Ads,Android 9.2
2673,Direct,Android 11.5
2674,Referral,IOS 14.5
2675,Referral,IOS 17.5
2676,Apple Ads,IOS 17.1
2677,Organic Search,Android 12.4
2678,Referral,Android 9.5
2679,Direct,Android 11.3
2680,Referral,IOS 14.2
2681,Referral,IOS 18.0
2682,Direct,Android 10.4
2683,Referral,IOS 18.1
2684,Referral,Android 10.1
2685,Meta Ads,IOS 13.4
2686,Google Ads,Android 11.0
2687,Referral,IOS 18.2
2688,Google Ads,Android 8.4
2689,Google Ads,Android 11.1
2690,Direct,IOS 12.4
2691,Organic Search,IOS 13.4
2692,Organic Search,IOS 16.4
2693,Referral,IOS 14.5
2694,Direct,IOS 15.2
2695,Google Ads,Android 8.5
2696,Organic Search,Android 8.1
2697,Apple Ads,IOS 17.0
2698,Google Ads,IOS 13.4
2699,Referral,Android 8.3
2700,Apple Ads,IOS 12.2
2701,Meta Ads,IOS 18.0
2702,Referral,Android 9.3
2703,Referral,Android 11.5
2704,Direct,IOS 18.3
2705,Organic Search,Android 12.5
2706,Organic Search,IOS 14.0
2707,Organic Search,IOS 16.0
2708,Direct,IOS 16.2
2709,Direct,Android 10.1
2710,Direct,Android 8.0
2711,Organic Search,IOS 13.2
2712,Referral,IOS 16.3
2713,Direct,Android 10.0
2714,Referral,Android 12.4
2715,Direct,IOS 15.5
2716,Referral,Android 11.0
2717,Direct,Android 12.4
2718,Referral,IOS 16.3
2719,Direct,Android 10.0
2720,Organic Search,Android 12.3
2721,Referral,IOS 18.0
2722,Referral,IOS 18.0
2723,Direct,IOS 13.0
2724,Referral,IOS 18.2
2725,Referral,Android 8.2
2726,Direct,Android 12.3
2727,Referral,IOS 16.5
2728,Meta Ads,IOS 16.0
2729,Organic Search,Android 11.1
2730,Direct,IOS 18.1
2731,Meta Ads,IOS 13.1
2732,Direct,Android 11.1
2733,Organic Search,Android 12.4
2734,Organic Search,IOS 12.5
2735,Apple Ads,IOS 17.1
2736,Referral,Android 9.4
2737,Direct,Android 10.1
2738,Referral,Android 12.4
2739,Referral,IOS 12.3
2740,Organic Search,Android 11.3
2741,Referral,IOS 12.5
2742,Apple Ads,IOS 13.1
2743,Direct,IOS 15.3
2744,Organic Search,IOS 18.2
2745,Google Ads,IOS 14.2
2746,Apple Ads,IOS 17.1
2747,Direct,IOS 17.4
2748,Direct,Android 11.2
2749,Referral,IOS 16.5
2750,Organic Search,IOS 15.3
2751,Organic Search,IOS 12.3
2752,Meta Ads,IOS 18.4
2753,Direct,IOS 13.1
2754,Apple Ads,IOS 15.2
2755,Referral,Android 10.2
2756,Direct,IOS 18.0
2757,Direct,IOS 18.5
2758,Google Ads,Android 9.5
2759,Organic Search,Android 10.1
2760,Referral,Android 9.0
2761,Apple Ads,IOS 17.1
2762,Meta Ads,IOS 13.5
2763,Referral,Android 8.1
2764,Referral,IOS 14.5
2765,Meta Ads,Android 8.3
2766,Direct,IOS 17.5
2767,Apple Ads,IOS 13.5
2768,Referral,Android 11.5
2769,Organic Search,Android 12.1
2770,Google Ads,IOS 14.0
2771,Google Ads,Android 8.4
2772,Referral,IOS 16.5
2773,Direct,IOS 17.4
2774,Organic Search,IOS 17.3
2775,Meta Ads,Android 8.0
2776,Organic Search,Android 12.3
2777,Google Ads,Android 8.5
2778,Referral,IOS 18.1
2779,Referral,IOS 12.5
2780,Organic Search,IOS 17.5
2781,Apple Ads,IOS 15.4
2782,Referral,Android 10.0
2783,Referral,IOS 17.0
2784,Meta Ads,IOS 16.0
2785,Meta Ads,IOS 13.0
2786,Referral,Android 8.4
2787,Google Ads,Android 8.2
2788,Meta Ads,IOS 18.2
2789,Organic Search,Android 8.1
2790,Meta Ads,Android 11.3
2791,Referral,IOS 12.2
2792,Referral,IOS 17.4
2793,Referral,Android 12.0
2794,Organic Search,IOS 13.4
2795,Referral,IOS 17.0
2796,Direct,IOS 16.3
2797,Organic Search,Android 8.0
2798,Referral,IOS 13.1
2799,Meta Ads,IOS 17.3
2800,Direct,IOS 15.1
2801,Organic Search,Android 9.0
2802,Apple Ads,IOS 17.1
2803,Direct,Android 12.4
2804,Organic Search,Android 11.3
2805,Google Ads,IOS 12.4
2806,Referral,Android 8.0
2807,Organic Search,IOS 13.2
2808,Organic Search,IOS 15.2
2809,Apple Ads,IOS 17.1
2810,Organic Search,Android 10.3
2811,Referral,IOS 13.5
2812,Organic Search,IOS 12.2
2813,Meta Ads,Android 9.1
2814,Referral,Android 9.0
2815,Meta Ads,IOS 12.3
2816,Google Ads,Android 11.1
2817,Direct,Android 10.2
2818,Referral,IOS 13.3
2819,Direct,Android 11.5
2820,Referral,Android 12.3
2821,Direct,IOS 17.3
2822,Organic Search,Android 10.2
2823,Referral,Android 9.1
2824,Direct,Android 10.4
2825,Organic Search,Android 12.3
2826,Google Ads,IOS 13.3
2827,Direct,IOS 18.1
2828,Referral,IOS 18.0
2829,Organic Search,IOS 12.4
2830,Organic Search,Android 9.3
2831,Referral,Android 12.3
2832,Meta Ads,IOS 14.4
2833,Organic Search,Android 9.3
2834,Direct,IOS 18.3
2835,Organic Search,IOS 17.0
2836,Google Ads,Android 10.0
2837,Organic Search,Android 11.4
2838,Organic Search,IOS 14.1
2839,Referral,Android 9.5
2840,Referral,Android 11.3
2841,Direct,Android 11.0
2842,Direct,Android 11.5
2843,Referral,Android 11.5
2844,Organic Search,Android 12.2
2845,Organic Search,IOS 14.2
2846,Referral,IOS 13.2
2847,Direct,IOS 12.0
2848,Direct,Android 9.0
2849,Organic Search,IOS 18.2
2850,Referral,Android 10.5
2851,Direct,IOS 16.0
2852,Apple Ads,IOS 16.1
2853,Apple Ads,IOS 16.4
2854,Apple Ads,IOS 17.1
2855,Organic Search,IOS 16.3
2856,Organic Search,Android 12.5
2857,Referral,IOS 14.2
2858,Google Ads,IOS 17.1
2859,Meta Ads,Android 11.1
2860,Referral,Android 8.2
2861,Organic Search,IOS 16.0
2862,Direct,Android 11.1
2863,Referral,Android 9.5
2864,Referral,IOS 17.1
2865,Referral,IOS 17.3
2866,Direct,Android 12.4
2867,Referral,Android 11.3
2868,Direct,IOS 15.1
2869,Organic Search,Android 10.1
2870,Direct,Android 8.2
2871,Apple Ads,IOS 17.1
2872,Organic Search,IOS 14.3
2873,Apple Ads,IOS 17.1
2874,Organic Search,Android 10.4
2875,Direct,IOS 17.1
2876,Direct,IOS 15.3
2877,Apple Ads,IOS 17.1
2878,Direct,IOS 12.0
2879,Referral,Android 10.0
2880,Referral,Android 8.4
2881,Referral,Android 12.5
2882,Referral,Android 12.1
2883,Google Ads,Android 9.3
2884,Google Ads,Android 8.2
2885,Organic Search,Android 12.5
2886,Organic Search,Android 8.4
2887,Direct,IOS 18.1
2888,Referral,Android 9.4
2889,Organic Search,IOS 15.2
